month,state,state_id,county,county_fips,city,population,cases,deaths,lat,lng
August,North Carolina,NC,Forsyth,37067,Winston-Salem,422269,171467,1836,36.1029,-80.2611
August,North Carolina,NC,Guilford,37081,Greensboro,343090,185385,4930,36.0956,-79.8269
August,North Carolina,NC,Mecklenburg,37119,Charlotte,1512923,719679,8060,35.208,-80.8304
August,North Carolina,NC,New Hanover,37129,Wilmington,255616,83081,635,34.21,-77.8866
August,North Carolina,NC,Wake,37183,Raleigh,1038738,400554,5463,35.8325,-78.6435
August,Ohio,OH,Cuyahoga,39035,Cleveland,1710093,440857,16345,41.4767,-81.6804
August,Ohio,OH,Franklin,39049,Columbus,1562009,602906,16681,39.9862,-82.985
August,Ohio,OH,Hamilton,39061,Cincinnati,1662691,313060,8275,39.1413,-84.5061
August,Ohio,OH,Lucas,39095,Toledo,482111,176100,10221,41.6639,-83.5822
August,Ohio,OH,Mahoning,39099,Youngstown,378732,82293,8028,41.0993,-80.6463
August,Ohio,OH,Montgomery,39113,Dayton,718353,146459,3219,39.7797,-84.1998
August,Ohio,OH,Stark,39151,Canton,269418,61872,4445,40.8075,-81.3677
August,Ohio,OH,Summit,39153,Akron,565208,118620,7030,41.0798,-81.5219
August,Oklahoma,OK,Oklahoma,40109,Oklahoma City,972943,356230,3964,35.4676,-97.5136
August,Oklahoma,OK,Tulsa,40143,Tulsa,671033,350638,3598,36.1284,-95.9042
August,Oregon,OR,Lane,41039,Eugene,273439,19113,125,44.0563,-123.1173
August,Oregon,OR,Marion,41047,Salem,266804,99397,2262,44.9231,-123.0246
August,Oregon,OR,Multnomah,41051,Portland,2074775,163136,3275,45.5372,-122.65
August,Pennsylvania,PA,Allegheny,42003,Pittsburgh,1703266,289692,8821,40.4396,-79.9762
August,Pennsylvania,PA,Berks,42011,Reading,267155,173584,11569,40.34,-75.9267
August,Pennsylvania,PA,Dauphin,42043,Harrisburg,442289,92127,4950,40.2752,-76.8843
August,Pennsylvania,PA,Lackawanna,42069,Scranton,384250,60987,6584,41.4044,-75.6649
August,Pennsylvania,PA,Lancaster,42071,Lancaster,401524,191576,13016,40.0421,-76.3012
August,Pennsylvania,PA,Lehigh,42077,Allentown,683794,156230,10527,40.5961,-75.4756
August,Pennsylvania,PA,Philadelphia,42101,Philadelphia,5649300,996427,53682,40.0077,-75.1339
August,Rhode Island,RI,Providence,44007,Providence,1203230,486035,25454,41.823,-71.4187
August,South Carolina,SC,Charleston,45019,Charleston,628377,396864,6476,32.8153,-79.9628
August,South Carolina,SC,Greenville,45045,Greenville,484465,347835,6997,34.8353,-82.3647
August,South Carolina,SC,Horry,45051,Myrtle Beach,275579,273161,5071,33.7096,-78.8843
August,South Carolina,SC,Richland,45079,Columbia,560041,290203,5218,34.0376,-80.9037
August,Tennessee,TN,Davidson,47037,Nashville,1081903,743425,7102,36.1715,-86.7843
August,Tennessee,TN,Hamilton,47065,Chattanooga,415501,210669,1874,35.0657,-85.2488
August,Tennessee,TN,Knox,47093,Knoxville,586048,169063,1504,35.9692,-83.9496
August,Tennessee,TN,Shelby,47157,Memphis,1066967,768467,10368,35.1046,-89.9773
August,Texas,TX,Bell,48027,Killeen,258009,130336,1463,31.0754,-97.7296
August,Texas,TX,Bexar,48029,San Antonio,2049293,1360969,27129,29.4658,-98.5253
August,Texas,TX,Collin,48085,Plano,287677,283693,3044,33.0502,-96.7487
August,Texas,TX,Dallas,48113,Dallas,5743938,1977055,25583,32.7936,-96.7662
August,Texas,TX,Denton,48121,Denton,457177,261433,3181,33.2176,-97.1419
August,Texas,TX,El Paso,48141,El Paso,843386,553419,10806,31.8479,-106.4309
August,Texas,TX,Harris,48201,Houston,5464251,2844388,55444,29.7863,-95.3889
August,Texas,TX,Hidalgo,48215,McAllen,804114,691475,29257,26.2273,-98.2471
August,Texas,TX,Lubbock,48303,Lubbock,267648,202161,2717,33.5659,-101.8878
August,Texas,TX,Nueces,48355,Corpus Christi,342464,507147,8632,27.726,-97.3755
August,Texas,TX,Tarrant,48439,Fort Worth,909585,1130325,15564,32.7811,-97.3473
August,Texas,TX,Travis,48453,Austin,1687311,749355,10272,30.3004,-97.7522
August,Texas,TX,Webb,48479,Laredo,262079,281144,5984,27.5629,-99.4875
August,Utah,UT,Salt Lake,49035,Salt Lake City,1098526,673880,6494,40.7777,-111.9306
August,Utah,UT,Utah,49049,Provo,500617,291675,1237,40.2457,-111.6457
August,Utah,UT,Weber,49057,Ogden,578523,91031,822,41.2278,-111.9682
August,Virginia,VA,Richmond,51760,Richmond,1075798,10009,130,37.5295,-77.4756
August,Washington,WA,King,53033,Seattle,3789215,546508,22048,47.6211,-122.3244
August,Washington,WA,Spokane,53063,Spokane,412275,144971,3246,47.6671,-117.433
August,Wisconsin,WI,Dane,55025,Madison,447245,148930,1194,43.0826,-89.3931
August,Wisconsin,WI,Milwaukee,55079,Milwaukee,1365787,683838,14485,43.0642,-87.9673
July,Alabama,AL,Jefferson,01073,Birmingham,739573,244289,5605,33.5277,-86.7987
July,Alabama,AL,Madison,01089,Huntsville,319249,91584,483,34.6988,-86.6412
July,Alabama,AL,Mobile,01097,Mobile,315502,175849,4943,30.6783,-88.1162
July,Alabama,AL,Montgomery,01101,Montgomery,254634,153267,3786,32.3473,-86.2666
July,Arizona,AZ,Maricopa,04013,Phoenix,4219697,2705670,41844,33.5722,-112.0891
July,Arizona,AZ,Pima,04019,Tucson,888486,387350,11079,32.1545,-110.8782
July,Arkansas,AR,Pulaski,05119,Little Rock,439815,105104,2074,34.7256,-92.3576
July,Arkansas,AR,Washington,05143,Fayetteville,351246,150704,1149,36.0713,-94.166
July,California,CA,Alameda,06001,Oakland,433031,268879,4909,37.7903,-122.2165
July,California,CA,Contra Costa,06013,Concord,652308,166351,2939,37.9722,-122.0016
July,California,CA,Fresno,06019,Fresno,703498,299118,2996,36.7831,-119.7941
July,California,CA,Kern,06029,Bakersfield,579295,306526,3226,35.3529,-119.0359
July,California,CA,Los Angeles,06037,Los Angeles,12750807,4534053,123135,34.1139,-118.4068
July,California,CA,Orange,06059,Mission Viejo,590249,837060,14436,33.6095,-117.655
July,California,CA,Riverside,06065,Riverside,2107852,879941,17792,33.9381,-117.3948
July,California,CA,Sacramento,06067,Sacramento,1898019,202602,2866,38.5667,-121.4683
July,California,CA,San Bernardino,06071,Victorville,346789,684747,10063,34.5277,-117.3536
July,California,CA,San Diego,06073,San Diego,3220118,683843,14303,32.8312,-117.1225
July,California,CA,San Francisco,06075,San Francisco,3592294,152763,1624,37.7562,-122.443
July,California,CA,San Joaquin,06077,Stockton,397264,239550,2705,37.9765,-121.3109
July,California,CA,Santa Clara,06085,San Jose,1798103,221050,5409,37.3019,-121.8486
July,California,CA,Sonoma,06097,Santa Rosa,324634,62168,589,38.4458,-122.7067
July,California,CA,Stanislaus,06099,Modesto,383134,179644,2050,37.6374,-121.0028
July,California,CA,Ventura,06111,Oxnard,387647,161030,1796,34.1963,-119.1815
July,Colorado,CO,Adams,08001,Aurora,379289,154716,4995,39.7087,-104.7273
July,Colorado,CO,Denver,08031,Denver,2876625,256010,12267,39.7621,-104.8759
July,Colorado,CO,El Paso,08041,Colorado Springs,642413,106040,3774,38.8674,-104.7606
July,Colorado,CO,Larimer,08069,Fort Collins,312666,31836,957,40.5478,-105.0656
July,Connecticut,CT,Fairfield,09001,Bridgeport,924449,530096,43093,41.1918,-73.1953
July,Connecticut,CT,Hartford,09003,Hartford,905152,373641,43263,41.7661,-72.6834
July,Connecticut,CT,New Haven,09009,New Haven,564830,393098,33701,41.3112,-72.9246
July,District of Columbia,DC,District of Columbia,11001,Washington,5379184,345436,17731,38.9047,-77.0163
July,Florida,FL,Brevard,12009,Palm Bay,507002,117966,1431,27.955,-80.6627
July,Florida,FL,Duval,12031,Jacksonville,1181496,452826,3047,30.3322,-81.6749
July,Florida,FL,Escambia,12033,Pensacola,346921,153654,1909,30.4427,-87.1886
July,Florida,FL,Flagler,12035,Palm Coast,417007,18255,205,29.5392,-81.246
July,Florida,FL,Hillsborough,12057,Tampa,2908063,655299,6940,27.9942,-82.4451
July,Florida,FL,Lee,12071,Cape Coral,668382,344301,6673,26.6446,-81.9956
July,Florida,FL,Leon,12073,Tallahassee,257601,85206,321,30.4551,-84.2526
July,Florida,FL,Miami-Dade,12086,Miami,6445545,2368505,38279,25.7839,-80.2102
July,Florida,FL,Orange,12095,Orlando,1822394,637810,3490,28.4772,-81.3369
July,Florida,FL,Osceola,12097,Kissimmee,382720,162858,1227,28.3042,-81.4164
July,Florida,FL,Pinellas,12103,St. Petersburg,265351,374260,8926,27.7931,-82.6652
July,Florida,FL,Polk,12105,Lakeland,302284,261526,5170,28.0556,-81.9545
July,Florida,FL,Sarasota,12115,Sarasota,722243,112504,3247,27.3386,-82.5431
July,Florida,FL,St. Lucie,12111,Port St. Lucie,461152,103255,2359,27.2796,-80.3883
July,Georgia,GA,Chatham,13051,Savannah,276295,94976,1327,32.0281,-81.1784
July,Georgia,GA,Fulton,13121,Atlanta,5449398,379669,10539,33.7627,-84.4224
July,Georgia,GA,Muscogee,13215,Columbus,261445,94641,1969,32.51,-84.8771
July,Georgia,GA,Richmond,13245,Augusta,390809,63566,1992,33.3645,-82.0708
July,Idaho,ID,Ada,16001,Boise,389280,157829,1047,43.6007,-116.2312
July,Illinois,IL,Cook,17031,Chicago,8604203,3024198,147068,41.8373,-87.6862
July,Illinois,IL,Lake,17097,Round Lake Beach,279381,331607,13361,42.379,-88.0811
July,Illinois,IL,Peoria,17143,Peoria,256286,24382,950,40.752,-89.6153
July,Illinois,IL,Winnebago,17201,Rockford,282762,102137,3332,42.2597,-89.0641
July,Indiana,IN,Allen,18003,Fort Wayne,334122,95648,4633,41.0886,-85.1437
July,Indiana,IN,Marion,18097,Indianapolis,1588961,394802,23136,39.7771,-86.1458
July,Indiana,IN,St. Joseph,18141,South Bend,280498,73548,2369,41.6767,-86.2696
July,Iowa,IA,Polk,19153,Des Moines,473957,244797,5798,41.5725,-93.6105
July,Iowa,IA,Scott,19163,Davenport,285362,36178,323,41.5563,-90.6052
July,Kansas,KS,Sedgwick,20173,Wichita,482249,83003,980,37.6896,-97.3442
July,Kentucky,KY,Fayette,21067,Lexington,317110,70223,1172,38.0423,-84.4587
July,Kentucky,KY,Jefferson,21111,Louisville,1005654,157234,7033,38.1663,-85.6485
July,Louisiana,LA,Caddo,22017,Shreveport,280062,145984,7876,32.4656,-93.7956
July,Louisiana,LA,East Baton Rouge,22033,Baton Rouge,570308,244122,8968,30.4418,-91.131
July,Louisiana,LA,Lafayette,22055,Lafayette,264357,135340,1863,30.2084,-92.0323
July,Louisiana,LA,Orleans,22071,New Orleans,1020886,280069,16853,30.0687,-89.9288
July,Maryland,MD,Baltimore,24510,Baltimore,2106068,295912,15680,39.3051,-76.6144
July,Massachusetts,MA,Hampden,25013,Springfield,623401,219485,21010,42.1155,-72.5395
July,Massachusetts,MA,Suffolk,25025,Boston,4688346,634468,31881,42.3188,-71.0846
July,Massachusetts,MA,Worcester,25027,Worcester,498328,396429,29839,42.2705,-71.8079
July,Michigan,MI,Genesee,26049,Flint,332190,94431,9034,43.0235,-83.6922
July,Michigan,MI,Ingham,26065,Lansing,324286,38385,908,42.7142,-84.5601
July,Michigan,MI,Kent,26081,Grand Rapids,609314,188316,4499,42.962,-85.6562
July,Michigan,MI,Washtenaw,26161,Ann Arbor,322267,78128,3670,42.2755,-83.7312
July,Michigan,MI,Wayne,26163,Detroit,3506126,767095,85761,42.3834,-83.1024
July,Minnesota,MN,Hennepin,27053,Minneapolis,2977172,443698,24684,44.9635,-93.2678
July,Minnesota,MN,Ramsey,27123,St. Paul,308096,172279,7475,44.9477,-93.104
July,Mississippi,MS,Hinds,28049,Jackson,325350,107180,1976,32.3163,-90.2124
July,Missouri,MO,Greene,29077,Springfield,288090,21973,283,37.1943,-93.2916
July,Missouri,MO,Jackson,29095,Kansas City,1636715,63490,1444,39.1239,-94.5541
July,Missouri,MO,St. Louis,29510,St. Louis,2024074,275979,18885,38.6358,-90.2451
July,Nebraska,NE,Douglas,31055,Omaha,847819,266467,3436,41.2627,-96.0522
July,Nebraska,NE,Lancaster,31109,Lincoln,289490,72453,421,40.809,-96.6788
July,Nevada,NV,Clark,32003,Las Vegas,2104198,854844,16232,36.2333,-115.2654
July,Nevada,NV,Washoe,32031,Reno,445020,122763,2993,39.5497,-119.8483
July,New Jersey,NJ,Essex,34013,Newark,282011,599586,64344,40.7245,-74.1725
July,New Jersey,NJ,Hudson,34017,Jersey City,262075,600099,46013,40.7161,-74.0682
July,New Jersey,NJ,Mercer,34021,Trenton,290716,243966,18657,40.2236,-74.7641
July,New Mexico,NM,Bernalillo,35001,Albuquerque,761195,107394,3097,35.1053,-106.6464
July,New York,NY,Albany,36001,Albany,586383,71103,5058,42.6664,-73.7987
July,New York,NY,Dutchess,36027,Poughkeepsie,394760,134446,4981,41.6949,-73.921
July,New York,NY,Erie,36029,Buffalo,914341,245216,18853,42.9016,-78.8487
July,New York,NY,Monroe,36055,Rochester,703952,133003,8188,43.168,-77.6162
July,New York,NY,Onondaga,36067,Syracuse,404223,98992,5656,43.0409,-76.1438
July,North Carolina,NC,Buncombe,37021,Asheville,312507,32493,1440,35.5704,-82.5536
July,North Carolina,NC,Cabarrus,37025,Concord,261801,54959,1082,35.3933,-80.6366
July,North Carolina,NC,Cumberland,37051,Fayetteville,327435,56810,1378,35.0846,-78.9776
July,North Carolina,NC,Durham,37063,Durham,424700,150207,2216,35.9794,-78.9031
July,North Carolina,NC,Forsyth,37067,Winston-Salem,422269,122574,1247,36.1029,-80.2611
July,North Carolina,NC,Guilford,37081,Greensboro,343090,121883,3997,36.0956,-79.8269
July,North Carolina,NC,Mecklenburg,37119,Charlotte,1512923,501541,5404,35.208,-80.8304
July,North Carolina,NC,New Hanover,37129,Wilmington,255616,50537,328,34.21,-77.8866
July,North Carolina,NC,Wake,37183,Raleigh,1038738,253757,2548,35.8325,-78.6435
July,Ohio,OH,Cuyahoga,39035,Cleveland,1710093,305127,12785,41.4767,-81.6804
July,Ohio,OH,Franklin,39049,Columbus,1562009,405598,14212,39.9862,-82.985
July,Ohio,OH,Hamilton,39061,Cincinnati,1662691,226187,6649,39.1413,-84.5061
July,Ohio,OH,Lucas,39095,Toledo,482111,105002,9510,41.6639,-83.5822
July,Ohio,OH,Mahoning,39099,Youngstown,378732,63353,7448,41.0993,-80.6463
July,Ohio,OH,Montgomery,39113,Dayton,718353,86533,1321,39.7797,-84.1998
July,Ohio,OH,Stark,39151,Canton,269418,40767,3664,40.8075,-81.3677
July,Ohio,OH,Summit,39153,Akron,565208,78284,6517,41.0798,-81.5219
July,Oklahoma,OK,Oklahoma,40109,Oklahoma City,972943,176915,2451,35.4676,-97.5136
July,Oklahoma,OK,Tulsa,40143,Tulsa,671033,182527,2523,36.1284,-95.9042
July,Oregon,OR,Lane,41039,Eugene,273439,10575,93,44.0563,-123.1173
July,Oregon,OR,Marion,41047,Salem,266804,62879,1769,44.9231,-123.0246
July,Oregon,OR,Multnomah,41051,Portland,2074775,100369,2404,45.5372,-122.65
July,Pennsylvania,PA,Allegheny,42003,Pittsburgh,1703266,173671,6420,40.4396,-79.9762
July,Pennsylvania,PA,Berks,42011,Reading,267155,148670,11112,40.34,-75.9267
July,Pennsylvania,PA,Dauphin,42043,Harrisburg,442289,73278,4590,40.2752,-76.8843
July,Pennsylvania,PA,Lackawanna,42069,Scranton,384250,55519,6509,41.4044,-75.6649
July,Pennsylvania,PA,Lancaster,42071,Lancaster,401524,153841,11970,40.0421,-76.3012
July,Pennsylvania,PA,Lehigh,42077,Allentown,683794,139672,10056,40.5961,-75.4756
July,Pennsylvania,PA,Philadelphia,42101,Philadelphia,5649300,871657,51212,40.0077,-75.1339
July,Rhode Island,RI,Providence,44007,Providence,1203230,421198,24250,41.823,-71.4187
July,South Carolina,SC,Charleston,45019,Charleston,628377,258957,2617,32.8153,-79.9628
July,South Carolina,SC,Greenville,45045,Greenville,484465,239524,3800,34.8353,-82.3647
July,South Carolina,SC,Horry,45051,Myrtle Beach,275579,189999,2527,33.7096,-78.8843
July,South Carolina,SC,Richland,45079,Columbia,560041,173590,3281,34.0376,-80.9037
July,Tennessee,TN,Davidson,47037,Nashville,1081903,496152,4857,36.1715,-86.7843
July,Tennessee,TN,Hamilton,47065,Chattanooga,415501,122722,1220,35.0657,-85.2488
July,Tennessee,TN,Knox,47093,Knoxville,586048,68214,504,35.9692,-83.9496
July,Tennessee,TN,Shelby,47157,Memphis,1066967,476908,7283,35.1046,-89.9773
July,Texas,TX,Bell,48027,Killeen,258009,73904,532,31.0754,-97.7296
July,Texas,TX,Bexar,48029,San Antonio,2049293,801393,7977,29.4658,-98.5253
July,Texas,TX,Collin,48085,Plano,287677,151436,1933,33.0502,-96.7487
July,Texas,TX,Dallas,48113,Dallas,5743938,1152877,15678,32.7936,-96.7662
July,Texas,TX,Denton,48121,Denton,457177,146167,1419,33.2176,-97.1419
July,Texas,TX,El Paso,48141,El Paso,843386,322845,5545,31.8479,-106.4309
July,Texas,TX,Harris,48201,Houston,5464251,1602774,18544,29.7863,-95.3889
July,Texas,TX,Hidalgo,48215,McAllen,804114,321363,8424,26.2273,-98.2471
July,Texas,TX,Lubbock,48303,Lubbock,267648,126327,1967,33.5659,-101.8878
July,Texas,TX,Nueces,48355,Corpus Christi,342464,231780,2514,27.726,-97.3755
July,Texas,TX,Tarrant,48439,Fort Worth,909585,628107,8999,32.7811,-97.3473
July,Texas,TX,Travis,48453,Austin,1687311,499969,6021,30.3004,-97.7522
July,Texas,TX,Webb,48479,Laredo,262079,110774,1991,27.5629,-99.4875
July,Utah,UT,Salt Lake,49035,Salt Lake City,1098526,482511,4289,40.7777,-111.9306
July,Utah,UT,Utah,49049,Provo,500617,182722,878,40.2457,-111.6457
July,Utah,UT,Weber,49057,Ogden,578523,55654,578,41.2278,-111.9682
July,Virginia,VA,Richmond,51760,Richmond,1075798,9600,133,37.5295,-77.4756
July,Washington,WA,King,53033,Seattle,3789215,393928,20028,47.6211,-122.3244
July,Washington,WA,Spokane,53063,Spokane,412275,77040,1442,47.6671,-117.433
July,Wisconsin,WI,Dane,55025,Madison,447245,98527,1026,43.0826,-89.3931
July,Wisconsin,WI,Milwaukee,55079,Milwaukee,1365787,471688,12660,43.0642,-87.9673
June,Alabama,AL,Jefferson,01073,Birmingham,739573,81233,3593,33.5277,-86.7987
June,Alabama,AL,Madison,01089,Huntsville,319249,18307,165,34.6988,-86.6412
June,Alabama,AL,Mobile,01097,Mobile,315502,84551,3871,30.6783,-88.1162
June,Alabama,AL,Montgomery,01101,Montgomery,254634,84309,2117,32.3473,-86.2666
June,Arizona,AZ,Maricopa,04013,Phoenix,4219697,723691,17543,33.5722,-112.0891
June,Arizona,AZ,Pima,04019,Tucson,888486,138281,6901,32.1545,-110.8782
June,Arkansas,AR,Pulaski,05119,Little Rock,439815,41206,1360,34.7256,-92.3576
June,Arkansas,AR,Washington,05143,Fayetteville,351246,58004,456,36.0713,-94.166
June,California,CA,Alameda,06001,Oakland,433031,136574,3458,37.7903,-122.2165
June,California,CA,Contra Costa,06013,Concord,652308,62840,1576,37.9722,-122.0016
June,California,CA,Fresno,06019,Fresno,703498,90237,1702,36.7831,-119.7941
June,California,CA,Kern,06029,Bakersfield,579295,102961,1686,35.3529,-119.0359
June,California,CA,Los Angeles,06037,Los Angeles,12750807,2295011,87756,34.1139,-118.4068
June,California,CA,Orange,06059,Mission Viejo,590249,281375,7088,33.6095,-117.655
June,California,CA,Riverside,06065,Riverside,2107852,356709,11814,33.9381,-117.3948
June,California,CA,Sacramento,06067,Sacramento,1898019,59694,1905,38.5667,-121.4683
June,California,CA,San Bernardino,06071,Victorville,346789,245387,6906,34.5277,-117.3536
June,California,CA,San Diego,06073,San Diego,3220118,304368,9876,32.8312,-117.1225
June,California,CA,San Francisco,06075,San Francisco,3592294,90185,1374,37.7562,-122.443
June,California,CA,San Joaquin,06077,Stockton,397264,57954,1319,37.9765,-121.3109
June,California,CA,Santa Clara,06085,San Jose,1798103,100730,4540,37.3019,-121.8486
June,California,CA,Sonoma,06097,Santa Rosa,324634,24333,134,38.4458,-122.7067
June,California,CA,Stanislaus,06099,Modesto,383134,41427,1043,37.6374,-121.0028
June,California,CA,Ventura,06111,Oxnard,387647,52863,1197,34.1963,-119.1815
June,Colorado,CO,Adams,08001,Aurora,379289,113100,4336,39.7087,-104.7273
June,Colorado,CO,Denver,08031,Denver,2876625,192911,10750,39.7621,-104.8759
June,Colorado,CO,El Paso,08041,Colorado Springs,642413,60279,3224,38.8674,-104.7606
June,Colorado,CO,Larimer,08069,Fort Collins,312666,19681,850,40.5478,-105.0656
June,Connecticut,CT,Fairfield,09001,Bridgeport,924449,488451,40226,41.1918,-73.1953
June,Connecticut,CT,Hartford,09003,Hartford,905152,334531,39652,41.7661,-72.6834
June,Connecticut,CT,New Haven,09009,New Haven,564830,360282,31154,41.3112,-72.9246
June,District of Columbia,DC,District of Columbia,11001,Washington,5379184,291828,15437,38.9047,-77.0163
June,Florida,FL,Brevard,12009,Palm Bay,507002,23466,449,27.955,-80.6627
June,Florida,FL,Duval,12031,Jacksonville,1181496,82033,1738,30.3322,-81.6749
June,Florida,FL,Escambia,12033,Pensacola,346921,33889,1171,30.4427,-87.1886
June,Florida,FL,Flagler,12035,Palm Coast,417007,6713,139,29.5392,-81.246
June,Florida,FL,Hillsborough,12057,Tampa,2908063,146871,3169,27.9942,-82.4451
June,Florida,FL,Lee,12071,Cape Coral,668382,96874,4015,26.6446,-81.9956
June,Florida,FL,Leon,12073,Tallahassee,257601,16702,231,30.4551,-84.2526
June,Florida,FL,Miami-Dade,12086,Miami,6445545,720782,25233,25.7839,-80.2102
June,Florida,FL,Orange,12095,Orlando,1822394,132153,1412,28.4772,-81.3369
June,Florida,FL,Osceola,12097,Kissimmee,382720,30814,656,28.3042,-81.4164
June,Florida,FL,Pinellas,12103,St. Petersburg,265351,90467,3392,27.7931,-82.6652
June,Florida,FL,Polk,12105,Lakeland,302284,55812,2257,28.0556,-81.9545
June,Florida,FL,Sarasota,12115,Sarasota,722243,26757,2701,27.3386,-82.5431
