word,fear,negative,positive,sadness
abandon,12,12,0,12
abandoned,27,27,0,27
abandonment,3,3,0,3
abhor,1,1,0,0
abhorrent,2,2,0,0
ability,0,0,106,0
abject,0,12,0,0
abnormal,0,12,0,0
abolish,0,6,0,0
abolition,0,1,0,0
abominable,1,1,0,0
abomination,3,3,0,0
abortion,38,38,0,38
abovementioned,0,0,1,0
absence,37,37,0,37
absent,0,13,0,13
absentee,0,19,0,19
absolute,0,0,91,0
absorbed,0,0,2,0
absurd,0,31,0,0
absurdity,0,4,0,0
abundance,0,5,5,0
abundant,0,0,2,0
abuse,86,86,0,86
abysmal,0,5,0,5
abyss,8,8,0,8
academic,0,0,107,0
academy,0,0,49,0
acceptable,0,0,40,0
acceptance,0,0,12,0
accessible,0,0,47,0
accident,70,70,0,70
accidental,1,1,0,0
accolade,0,0,1,0
accommodation,0,0,22,0
accomplish,0,0,3,0
accomplished,0,0,9,0
accomplishment,0,0,6,0
accord,0,0,14,0
accountability,0,0,35,0
accountable,0,0,56,0
accredited,0,0,11,0
accurate,0,0,138,0
accusation,0,3,0,0
accused,68,68,0,0
accuser,3,3,0,0
accusing,9,9,0,0
ace,0,0,20,0
ache,0,4,0,4
achieve,0,0,97,0
achievement,0,0,29,0
acid,0,24,0,0
acquire,0,0,15,0
acquiring,0,0,12,0
action,0,0,492,0
actionable,0,9,0,0
actual,0,0,167,0
acuity,0,0,1,0
acumen,0,0,1,0
adapt,0,0,143,0
adaptable,0,0,2,0
addiction,0,43,0,0
addresses,0,0,22,0
adept,0,0,3,0
adipose,0,1,0,0
adjunct,0,0,3,0
admirable,0,0,4,0
admiral,0,0,5,0
admiration,0,0,3,0
admire,0,0,5,0
adorable,0,0,9,0
adoration,0,0,2,0
adore,0,0,5,0
adultery,0,1,0,1
advance,73,0,73,0
advanced,0,0,73,0
advancement,0,0,12,0
advantage,0,0,71,0
advent,0,0,3,0
adventure,0,0,23,0
adventurous,0,0,5,0
adversary,0,1,0,0
adverse,30,30,0,30
adversity,16,16,0,16
advisable,0,0,6,0
advise,0,0,58,0
adviser,0,0,35,0
advocacy,0,0,57,0
aesthetics,0,0,3,0
affection,0,0,1,0
affiliated,0,0,10,0
affirmation,0,0,7,0
affirmative,0,0,4,0
afflicted,0,11,0,0
affliction,2,2,0,2
affluence,0,0,1,0
affluent,0,0,8,0
afford,0,0,104,0
affront,1,1,0,1
afraid,144,144,0,0
aftermath,25,25,0,25
aftertaste,0,1,0,0
aga,29,0,29,0
aggravated,0,2,0,0
aggravating,0,1,0,1
aggression,4,4,0,0
aggressive,47,47,0,0
aghast,1,1,0,0
agile,0,0,54,0
agility,0,0,26,0
agitation,0,1,0,0
agonizing,3,3,0,0
agony,4,4,0,4
agree,0,0,329,0
agreeable,0,0,1,0
agreed,0,0,101,0
agreeing,0,0,7,0
agreement,0,0,93,0
agriculture,0,0,92,0
ahead,0,0,407,0
aid,0,0,278,0
aiding,0,0,15,0
ailing,3,3,0,3
aimless,0,2,0,0
airs,0,4,0,0
alarm,42,42,0,0
alarming,85,85,0,0
alcoholism,1,1,0,1
alertness,1,0,1,0
alerts,21,0,0,0
alien,23,23,0,0
alienated,0,1,0,1
alive,0,0,126,0
allay,0,0,1,0
allegation,0,3,0,0
allege,0,6,0,0
allegiance,0,0,2,0
allegro,0,0,1,0
alleviate,0,0,13,0
alleviation,0,0,3,0
allied,0,0,5,0
alluring,0,0,1,0
ally,0,0,13,0
almighty,0,0,23,0
aloha,0,0,7,0
aloof,0,1,0,0
amazingly,0,0,9,0
ambassador,0,0,38,0
ambiguous,0,6,0,0
ambition,0,0,8,0
ambulance,55,0,0,0
ambush,2,2,0,0
amen,0,0,27,0
amenable,0,0,2,0
amend,0,0,6,0
amends,0,0,3,0
amicable,0,0,1,0
amnesia,0,1,0,0
amnesty,0,0,13,0
amuse,0,0,3,0
amused,0,0,2,0
amusement,0,0,16,0
amusing,0,0,3,0
anal,0,10,0,0
analyst,0,0,30,0
anarchism,1,1,0,0
anarchist,3,3,0,0
anarchy,7,7,0,0
anchor,0,0,18,0
anchorage,0,0,8,8
ancient,0,25,0,0
angel,0,0,16,0
anger,0,50,0,0
angina,1,1,0,0
angling,0,1,0,0
angry,0,78,0,0
anguish,3,3,0,3
animate,0,0,2,0
animated,0,0,20,0
animosity,2,2,0,2
annihilate,1,1,0,0
annihilated,1,1,0,1
annihilation,2,2,0,2
annoy,0,3,0,0
annoying,0,25,0,0
annul,0,1,0,0
anomaly,5,5,0,0
anonymous,0,28,0,0
antagonist,0,1,0,0
antagonistic,0,1,0,0
antibiotics,0,0,11,0
antichrist,4,4,0,0
antidote,0,0,6,0
antiquated,0,1,0,0
antique,0,0,7,0
antisocial,3,3,0,3
antithesis,0,1,0,0
anxiety,250,250,0,250
anxious,60,60,0,0
apache,3,3,0,0
apathetic,0,1,0,1
apathy,0,7,0,7
apologetic,0,0,1,0
apologize,0,0,15,15
apology,0,0,21,0
apostle,0,0,2,0
appalling,38,38,0,0
appendicitis,3,3,0,3
applause,0,0,13,0
appreciation,0,0,36,0
apprehend,1,0,0,0
apprehension,3,3,0,0
apprehensive,4,4,0,0
appropriation,0,3,0,0
approval,0,0,113,0
approve,0,0,72,0
approving,0,0,12,0
apt,0,0,17,0
archaic,0,1,0,0
ardent,0,0,3,0
argue,0,42,0,0
argument,0,47,0,0
arid,0,1,0,1
aristocracy,0,0,2,0
aristocratic,0,0,1,0
armed,30,30,30,0
armored,1,0,0,0
array,0,0,10,0
arrears,0,1,0,0
arrest,0,67,0,0
arrogance,0,10,0,0
arrogant,0,20,0,0
arson,1,1,0,0
art,0,0,377,377
articulate,0,0,7,0
articulation,0,0,3,0
artillery,1,1,0,0
artisan,0,0,2,0
artiste,0,0,3,0
artistic,0,0,5,0
ash,0,6,0,0
ashamed,0,23,0,23
ashes,0,6,0,6
asp,5,0,0,0
aspiration,0,0,2,0
aspire,0,0,6,0
aspiring,0,0,7,0
ass,0,150,0,0
assassin,1,1,0,1
assassination,4,4,0,4
assault,40,40,0,0
assembly,0,0,76,0
assent,0,0,1,0
asserting,0,0,2,0
assets,0,0,24,0
asshole,0,30,0,0
assist,0,0,88,0
assistance,0,0,175,0
associate,0,0,37,0
assurance,0,0,9,0
assured,0,0,23,0
astonishingly,0,0,1,0
astray,1,1,0,0
astrologer,0,0,1,0
astronaut,0,0,4,0
astute,0,0,2,0
asylum,21,21,0,0
atheism,0,3,0,0
athlete,0,0,21,0
athletic,0,0,9,0
atrocious,0,5,0,0
atrocity,3,3,0,3
attachment,0,0,2,0
attack,151,151,0,0
attacking,39,39,0,39
attainment,0,0,1,0
attendant,0,0,9,0
attention,0,0,312,0
attentive,0,0,1,0
attenuated,0,3,0,0
attest,0,0,1,0
attorney,46,0,46,0
attraction,0,0,2,0
audacity,0,9,0,0
auditor,6,0,0,0
augment,0,0,8,0
august,0,0,3060,0
aunt,0,0,29,0
aura,0,0,7,0
auspicious,0,0,17,0
austerity,0,29,0,0
authentic,0,0,13,0
authenticity,0,0,10,0
author,0,0,63,0
authoritative,0,0,2,0
authority,0,0,94,0
authorization,0,0,25,0
authorized,0,0,18,0
autocratic,0,1,0,0
autopsy,12,12,0,12
avalanche,4,4,0,4
avatar,0,0,3,0
avenger,0,5,0,0
averse,3,3,0,0
avoid,441,441,0,0
avoidance,6,6,0,0
avoiding,47,0,0,0
award,0,0,86,0
awful,61,61,0,61
awkwardness,0,1,0,0
awry,0,3,0,0
ay,0,0,5,0
aye,0,0,10,0
babble,0,1,0,0
baboon,0,1,0,0
baby,0,0,194,0
baccalaureate,0,0,2,0
backbone,0,0,23,0
backward,0,9,0,0
backwards,0,11,0,0
bacteria,35,35,0,35
bad,670,670,0,670
badly,0,62,0,62
bait,5,5,0,0
balance,0,0,76,0
balanced,0,0,27,0
bale,1,1,0,0
balk,0,1,0,0
ballad,0,0,2,0
ballet,0,0,5,0
ballot,0,0,32,0
balm,0,5,5,0
ban,0,198,0,0
bandit,0,1,0,0
bane,11,11,0,0
bang,16,16,0,16
banger,6,6,0,0
banish,4,4,0,4
banished,1,1,0,1
bankrupt,16,16,0,16
bankruptcy,26,26,0,26
barb,0,2,0,0
barbarian,1,1,0,0
barbaric,1,1,0,0
bard,0,0,1,0
bargain,0,0,6,0
bark,0,4,0,0
barred,0,17,0,0
barricade,2,2,0,0
barrier,0,27,0,0
baseless,0,2,0,0
basketball,0,0,24,0
bastard,0,10,0,10
bath,0,0,12,0
batter,1,1,0,0
battered,10,10,0,10
battery,0,19,0,0
battle,0,293,0,0
battled,5,5,0,5
battlefield,2,2,0,0
beam,0,0,3,0
bear,55,0,0,0
bearer,0,2,0,0
bearish,1,0,0,0
beast,19,19,0,0
beating,84,84,0,84
beautiful,0,0,208,0
beautify,0,0,1,0
beauty,0,0,78,0
bedrock,0,0,5,0
bee,53,0,0,0
beer,0,0,57,0
befall,0,4,0,0
befriend,0,0,1,0
beg,0,20,0,20
beggar,0,9,0,9
begging,0,24,0,0
beholden,0,1,0,0
belated,0,1,0,0
believing,0,0,47,0
belittle,1,1,0,1
belligerent,2,2,0,0
belt,21,21,0,0
bender,0,1,0,0
benefactor,0,0,1,0
beneficial,0,0,17,0
benefit,0,0,154,0
benign,0,0,1,0
bereaved,0,7,0,7
bereavement,0,5,0,5
berserk,0,1,0,0
betray,0,9,0,9
betrayal,0,3,0,3
betterment,0,0,1,0
beverage,0,0,12,0
beware,52,52,0,0
bias,0,32,0,0
biased,0,17,0,0
biblical,0,0,9,0
bickering,0,3,0,0
bigot,14,14,0,0
bigoted,1,1,0,1
bile,0,1,0,0
bilingual,0,0,10,0
biopsy,1,1,0,0
birch,2,2,0,0
birth,65,0,65,0
birthday,0,0,159,0
birthplace,0,1,0,0
bitch,47,47,0,47
bite,0,24,0,0
bitterly,0,2,0,2
bitterness,0,1,0,1
bizarre,0,20,0,0
black,0,504,0,504
blackmail,3,3,0,0
blame,0,306,0,0
blameless,0,0,1,0
bland,0,3,0,0
blasphemy,0,5,0,0
blast,25,25,0,0
blatant,0,21,0,0
blather,0,2,0,0
blaze,0,4,0,0
bleak,0,16,0,16
bleeding,6,6,0,6
blemish,1,1,0,1
bless,0,0,130,0
blessed,0,0,85,0
blessing,0,0,50,0
blessings,0,0,58,0
blight,4,4,0,4
blind,0,68,0,0
blinded,0,8,0,0
blindly,0,23,0,23
blindness,0,1,0,1
bliss,0,0,5,0
blissful,0,0,3,0
bloated,0,6,0,0
blockade,5,5,0,5
bloodless,0,0,1,0
bloodshed,1,1,0,1
bloody,49,49,0,49
bloom,0,0,4,0
blossom,0,0,3,0
blower,0,3,0,0
blowout,0,2,0,0
blue,0,0,0,151
blues,26,26,0,26
blunder,0,8,0,8
blur,0,2,0,0
blurred,0,2,0,0
blush,0,1,0,0
boast,0,3,3,0
boasting,0,7,0,0
bodyguard,0,0,3,0
bog,0,5,0,0
bogus,0,23,0,0
boil,0,7,0,0
boisterous,0,2,2,0
bold,0,0,40,0
bolster,0,0,15,0
bomb,23,23,0,23
bombardment,1,1,0,0
bombed,0,1,0,0
bomber,7,0,0,7
bonanza,0,0,1,0
bonds,0,13,0,0
bonus,0,0,24,0
boo,0,17,0,0
bookish,0,0,2,0
bookworm,0,7,7,0
boon,0,0,8,0
booze,0,9,0,0
bore,0,4,0,0
boredom,0,13,0,13
boring,0,28,0,0
borrower,0,4,0,0
bother,0,24,0,0
bothering,0,5,0,5
bottom,0,62,0,62
bound,0,32,0,0
bountiful,0,0,1,0
bounty,0,0,17,0
bouquet,0,0,1,0
bout,0,29,0,0
boy,0,135,0,0
boycott,0,26,0,0
brag,0,6,0,0
brains,0,0,30,0
bravado,0,1,0,0
bravery,0,0,8,0
brawl,5,5,0,0
brazen,0,4,0,0
breach,0,38,0,0
breakdown,0,70,0,0
breakfast,0,0,37,0
breakneck,0,1,0,0
breakup,0,10,0,10
bribe,0,9,0,0
bribery,0,2,0,0
bridal,0,0,6,0
bride,0,0,8,0
brigade,14,14,0,0
brighten,0,0,7,0
brightness,0,0,1,0
brilliant,0,0,135,0
bristle,0,1,0,0
broke,136,136,0,136
broken,105,105,0,105
brothel,0,1,0,0
brother,0,0,358,0
brotherhood,0,0,3,0
brotherly,0,0,1,0
bruise,0,1,0,0
brunt,0,20,0,0
brutal,35,35,0,0
brutality,9,9,0,0
buck,36,36,36,0
buddy,0,0,25,0
buffet,0,9,0,0
bug,16,16,0,0
build,0,0,239,0
building,0,0,306,0
bulldog,0,0,1,0
bulletproof,0,0,3,0
bully,17,17,0,0
bum,0,3,0,3
bummer,0,7,0,0
bunker,10,0,0,0
buoy,0,0,1,0
burdensome,1,1,0,1
bureaucracy,0,6,0,0
bureaucrat,0,2,0,0
burial,10,10,0,10
buried,18,18,0,18
burke,7,7,0,7
burnt,0,5,0,0
bury,0,0,0,8
busted,13,13,0,0
butcher,5,5,0,0
butler,0,0,6,0
butt,0,22,0,0
buzz,15,0,15,0
cab,0,0,12,0
cabal,8,8,0,0
cabinet,0,0,109,0
cad,0,1,0,0
cafe,0,0,30,0
cage,0,8,0,8
calamity,0,0,0,12
calculating,0,6,0,0
calculator,0,0,13,0
calf,0,0,2,0
callous,0,8,0,0
calls,0,315,0,0
calm,0,0,73,0
campaigning,17,17,0,0
canary,0,0,11,0
cancel,0,141,0,141
cancer,345,345,0,345
candid,0,0,12,0
candidate,0,0,100,0
cane,4,0,0,0
capitalist,0,0,10,0
captain,0,0,28,0
captivating,0,0,3,0
captive,2,2,0,2
captivity,0,3,0,3
captor,1,1,0,0
capture,0,23,0,0
carcass,1,1,0,1
carcinoma,2,2,0,2
cardiomyopathy,1,1,0,1
career,0,0,114,0
careful,0,0,116,0
carefully,0,0,29,0
carelessness,0,8,0,0
caretaker,0,0,3,0
caricature,0,1,0,0
carnage,11,11,0,11
carol,0,0,7,0
cartel,0,3,0,0
cartridge,1,0,0,0
cascade,0,0,7,0
cash,193,0,193,0
casket,6,6,0,6
caste,0,8,0,0
casualty,20,20,0,20
cataract,2,2,0,2
catastrophe,38,38,0,38
cater,0,0,7,0
cathartic,0,0,2,0
cathedral,0,0,3,0
catheter,0,1,0,0
caution,44,44,0,0
cautionary,10,0,0,0
cautious,50,0,50,0
cautiously,22,0,22,0
cede,0,1,0,0
celebrated,0,0,47,0
celebrating,0,0,97,0
celebration,0,0,53,0
celebrity,0,19,19,0
cemetery,5,5,0,5
censor,11,11,0,0
center,0,0,322,0
centurion,0,0,2,0
cerebral,0,0,3,0
ceremony,0,0,58,0
certainty,0,0,21,0
chaff,1,1,0,0
chafing,0,1,0,0
chagrin,0,1,0,1
chairman,0,0,75,0
chairwoman,0,0,4,0
challenge,404,404,0,0
champion,0,0,40,0
change,899,0,0,0
chant,0,0,6,0
chaos,110,110,0,110
chaotic,0,14,0,0
charade,0,5,0,0
charger,0,0,2,0
charitable,0,0,13,0
charity,0,0,80,0
charm,0,0,1,0
charming,0,0,1,0
chase,0,21,0,0
chatty,0,2,0,0
cheap,0,67,0,0
cheat,0,18,0,0
checklist,0,0,23,0
cheer,0,0,24,0
cheerful,0,0,3,0
cheering,0,0,17,0
cheesecake,0,2,0,0
chemist,0,0,3,0
cherish,0,0,1,0
cherry,0,0,15,0
chicken,80,0,0,0
chieftain,0,0,2,0
child,0,0,451,0
childhood,0,0,42,0
childish,0,7,0,0
chirp,0,0,1,0
chocolate,0,0,21,0
choice,0,0,183,0
choir,0,0,16,0
choke,0,9,0,9
cholera,11,11,0,11
chop,0,8,0,0
choral,0,0,1,0
chorus,0,0,4,0
chosen,0,0,39,0
chronic,0,68,0,68
chronicle,0,0,7,0
chuckle,0,0,11,0
church,0,0,293,0
cider,0,0,2,0
cigarette,0,14,0,0
citizen,0,0,97,0
civil,0,0,167,0
civility,0,0,2,0
civilization,0,0,11,0
civilized,0,0,7,0
clairvoyant,0,0,1,0
clamor,0,1,0,0
clap,0,0,9,0
clarify,0,0,26,0
clash,0,19,0,0
classic,0,0,51,0
classical,0,0,6,0
classics,0,0,1,0
classify,0,0,5,0
claw,2,2,0,0
clean,0,0,292,0
cleaning,0,0,145,0
cleanliness,0,0,13,0
cleanse,0,0,3,0
cleansing,0,0,8,0
clearance,0,0,16,0
clearness,0,0,1,0
clever,0,0,15,0
cleverness,0,0,2,0
cliff,14,0,0,0
closeness,0,0,1,0
closure,0,0,93,93
clouded,0,3,0,3
cloudy,0,0,0,2
clown,0,0,39,0
clump,0,1,0,0
clumsy,0,3,0,0
coalition,0,0,37,0
coast,0,0,62,0
cobra,16,0,0,0
cocaine,0,11,0,11
coerce,1,1,0,0
coercion,3,3,0,3
coexist,0,0,1,0
coffin,11,11,0,11
cognitive,0,0,18,0
coherence,0,0,2,0
coherent,0,0,12,0
cohesive,0,0,4,0
cold,0,204,0,0
coldly,0,1,0,0
collapse,60,60,0,60
collectively,0,0,21,0
collision,0,2,0,0
collusion,3,3,0,3
colonel,0,0,4,0
colossal,0,0,11,0
coma,15,15,0,15
comatose,1,1,0,1
combat,244,244,0,0
comfort,0,0,62,0
commanding,0,0,2,0
commemorate,0,0,4,4
commemoration,0,0,7,0
commemorative,0,0,3,0
commend,0,0,10,0
commendable,0,0,6,0
commentator,0,0,3,0
committed,0,0,114,0
commonwealth,0,0,21,0
communicate,0,0,43,0
communion,0,0,8,0
communism,16,16,0,16
communist,0,59,0,0
community,0,0,1386,0
commutation,0,0,1,0
commute,0,0,15,0
companion,0,0,5,0
compassion,48,0,48,0
compassionate,0,0,30,0
compatibility,0,0,2,0
compatible,0,0,2,0
compelling,0,0,14,0
compensate,0,0,7,0
compensatory,0,0,1,0
competence,0,0,9,0
competency,0,0,1,0
competent,0,0,22,0
competition,0,71,0,0
complacency,0,0,14,0
complain,0,37,0,37
complaint,0,22,0,0
complement,0,0,8,0
complementary,0,0,1,0
completely,0,0,212,0
completeness,0,0,1,0
completing,0,0,19,0
completion,0,0,19,0
complexity,0,16,0,0
compliance,0,0,112,0
compliant,0,0,33,0
complicate,0,2,0,0
complicated,0,40,0,0
complication,0,6,0,0
complicity,0,1,1,0
compliment,0,0,6,0
composed,0,0,2,0
composer,0,0,3,0
compost,0,1,0,0
composure,0,0,1,0
comprehend,0,0,9,0
comprehensive,0,0,112,0
compulsion,0,2,0,0
compulsory,0,55,0,0
comrade,0,0,5,0
conceal,0,1,0,1
concealed,3,3,0,0
conceit,0,1,0,0
concentric,0,0,1,0
concerned,232,0,0,232
concord,0,0,1,0
concussion,0,1,0,1
condemn,0,12,0,0
condemnation,1,1,0,1
condescending,0,2,0,0
condescension,0,1,0,1
condolence,0,0,3,3
condone,0,0,4,0
conducive,0,0,5,0
confederate,0,0,8,0
confess,0,8,8,0
confession,2,2,0,2
confidence,89,0,89,0
confident,0,0,66,0
confined,23,23,0,23
confinement,12,12,0,12
confirmed,0,0,2321,0
confiscate,0,1,0,1
confiscation,0,1,0,0
conflagration,1,1,0,0
conflict,67,67,0,67
conflicting,0,12,0,0
confounded,0,1,0,0
confuse,0,10,0,0
confusion,50,50,0,0
congestion,0,13,0,0
congregation,0,0,9,0
conjuring,0,3,0,0
conscience,0,0,12,0
conscientious,0,0,1,0
consciousness,0,0,7,0
consecration,0,0,1,1
conservation,0,0,27,0
conserve,0,0,1,0
considerable,0,0,12,0
considerate,0,0,10,0
consistency,0,0,9,0
console,0,0,4,4
consonant,0,0,1,0
conspiracy,219,0,0,0
conspirator,6,6,0,0
constant,0,0,44,0
constitutional,0,0,26,0
constrain,4,4,0,0
constrained,0,4,0,0
constraint,3,3,0,3
construct,0,0,6,0
consummate,0,0,1,0
contact,0,0,930,0
contagion,36,36,0,0
contagious,83,83,0,0
contaminate,0,3,0,0
contaminated,27,27,0,27
contamination,0,15,0,0
contemplation,0,0,1,0
contempt,10,10,0,0
contemptible,0,3,0,0
content,0,0,122,0
contentious,4,4,0,0
continue,0,0,949,0
contour,0,0,1,0
contracted,0,141,0,0
contradict,0,5,0,0
contradiction,0,3,0,0
contradictory,0,8,0,0
contrary,0,24,0,0
contravention,0,2,0,0
contribute,0,0,91,0
contributor,0,0,10,0
controversial,0,31,0,0
controversy,0,16,0,0
convenience,0,0,30,0
convenient,0,0,32,0
convent,0,0,3,0
convention,0,0,74,0
conversational,0,0,2,0
convert,0,0,13,0
convict,1,1,0,1
conviction,0,10,0,0
convince,0,0,50,0
cool,0,0,158,0
coolness,0,0,1,0
coop,0,4,0,0
cooperate,0,0,12,0
cooperating,0,0,5,0
cooperation,0,0,66,0
cooperative,0,0,9,0
cop,38,0,0,0
copy,0,380,0,0
copycat,0,1,0,0
core,0,0,83,0
coronation,0,0,3,0
coroner,0,3,0,0
corporal,0,2,0,0
corporation,0,0,75,0
corpse,0,3,0,3
correction,0,31,0,0
corrective,0,0,9,0
correspondence,0,0,5,0
corrupt,0,134,0,0
corrupting,1,1,0,1
corruption,0,210,0,0
corse,0,0,0,1
cosmopolitan,0,0,1,0
cosy,0,0,1,0
